PERMNO;date;RET
15001;20141024;-0.002376
15001;20141027;-0.006431
15001;20141028;0.019258
15001;20141029;0.006272
15001;20141030;-0.010908
15001;20141031;0.014179
15001;20141103;0.011650
15001;20141104;-0.021113
15001;20141105;0.005490
15001;20141106;-0.003120
15001;20141107;-0.003912
15001;20141110;0.003731
15001;20141111;0.008018
15001;20141112;-0.019794
15001;20141113;0.006931
15001;20141114;0.001573
15001;20141117;0.002552
15001;20141118;0.025852
15001;20141119;0.000382
15001;20141120;-0.000763
15001;20141121;0.011837
15001;20141124;0.013594
15001;20141125;0.009311
15001;20141126;0.007085
15001;20141128;0.001392
15001;20141201;0.001464
15001;20141202;-0.008075
15001;20141203;-0.002545
15001;20141204;-0.004797
15001;20141205;0.011499
15001;20141208;-0.005866
15001;20141209;-0.011070
15001;20141210;-0.005056
15001;20141211;0.001706
15001;20141212;-0.011232
15001;20141215;-0.029913
15001;20141216;0.024200
15001;20141217;-0.005335
15001;20141218;0.015326
15001;20141219;-0.001887
15001;20141222;0.005970
15001;20141223;0.000455
15001;20141224;0.001660
15001;20141226;-0.002408
15001;20141229;-0.001883
15001;20141230;-0.014561
15001;20141231;-0.014459
15001;20150102;0.001939
15001;20150105;-0.036965
15001;20150106;-0.004622
15001;20150107;0.008682
15001;20150108;0.024019
15001;20150109;-0.013878
15001;20150112;0.008920
15001;20150113;0.003143
15001;20150114;0.003329
15001;20150115;0.005149
15001;20150116;0.014491
15001;20150120;0.002190
15001;20150121;-0.003255
15001;20150122;0.008738
15001;20150123;-0.003419
15001;20150126;0.023637
15001;20150127;-0.006741
15001;20150128;-0.006337
15001;20150129;0.017864
15001;20150130;-0.017551
15001;20150202;0.023774
15001;20150203;0.019812
15001;20150204;-0.019066
15001;20150205;0.015475
15001;20150206;-0.026488
15001;20150209;-0.010440
15001;20150210;0.009420
15001;20150211;-0.005493
15001;20150212;0.032912
15001;20150213;0.000723
15001;20150217;-0.006436
15001;20150218;0.001743
15001;20150219;0.001448
15001;20150220;0.014567
15001;20150223;-0.004307
15001;20150224;0.008363
15001;20150225;0.002074
15001;20150226;-0.006707
15001;20150227;0.006429
15001;20150302;0.003890
15001;20150303;-0.011735
15001;20150304;0.000004
15001;20150305;0.000360
15001;20150306;-0.011507
15001;20150309;0.008003
15001;20150310;-0.021653
15001;20150311;0.011066
15001;20150312;0.012039
15001;20150313;-0.006849
15001;20150316;0.030853
15001;20150317;-0.016194
15001;20150318;0.014671
15001;20150319;-0.020106
15001;20150320;0.031317
15001;20150323;-0.000698
15001;20150324;0.003842
15001;20150325;-0.005219
15001;20150326;-0.006296
15001;20150327;0.001408
15001;20150330;0.010893
15001;20150331;-0.018773
15001;20150401;0.008505
15001;20150402;0.006673
15001;20150406;0.008729
15001;20150407;-0.007855
15001;20150408;-0.001915
15001;20150409;-0.002554
15001;20150410;0.011035
15001;20150413;-0.010049
15001;20150414;0.004200
15001;20150415;0.000000
15001;20150416;-0.013590
15001;20150417;-0.020456
15001;20150420;0.009336
15001;20150421;0.008578
15001;20150422;-0.004961
15001;20150423;-0.005698
15001;20150424;0.006805
15001;20150427;0.017432
15001;20150428;-0.009441
15001;20150429;-0.015178
15001;20150430;0.000036
15001;20150501;0.012150
15001;20150504;0.003541
15001;20150505;-0.021172
15001;20150506;0.015862
15001;20150507;-0.004088
15001;20150508;0.024059
15001;20150511;-0.014409
15001;20150512;-0.004656
15001;20150513;-0.003689
15001;20150514;0.024920
15001;20150515;-0.002084
15001;20150518;0.000693
15001;20150519;0.002438
15001;20150520;-0.001735
15001;20150521;0.001390
15001;20150522;-0.012360
15001;20150526;-0.033169
15001;20150527;0.018146
15001;20150528;-0.006398
15001;20150529;-0.015814
15001;20150601;-0.001577
15001;20150602;0.009259
15001;20150603;0.017029
15001;20150604;-0.013538
15001;20150605;-0.019624
15001;20150608;-0.002638
15001;20150609;-0.003139
15001;20150610;0.031864
15001;20150611;-0.001795
15001;20150612;-0.009356
15001;20150615;-0.015610
15001;20150616;-0.000738
15001;20150617;-0.003691
15001;20150618;0.022605
15001;20150619;-0.010511
15001;20150622;0.038444
15001;20150623;-0.007507
15001;20150624;-0.011322
15001;20150625;0.004224
15001;20150626;0.002819
15001;20150629;-0.038198
15001;20150630;-0.007834
15001;20150701;0.004498
15001;20150702;-0.000376
15001;20150706;-0.019932
15001;20150707;-0.001151
15001;20150708;-0.016904
15001;20150709;0.021657
15001;20150710;0.048799
15001;20150713;-0.002910
15001;20150714;0.001456
15001;20150715;-0.004017
15001;20150716;0.009168
15001;20150717;-0.004215
15001;20150720;0.001679
15001;20150721;-0.001457
15001;20150722;-0.009850
15001;20150723;0.002027
15001;20150724;-0.017466
15001;20150727;-0.011602
15001;20150728;0.012495
15001;20150729;-0.002618
15001;20150730;-0.006374
15001;20150731;0.009438
15001;20150803;0.007847
15001;20150804;0.001298
15001;20150805;0.011298
15001;20150806;-0.001828
15001;20150807;-0.000004
15001;20150810;0.012477
15001;20150811;-0.023197
15001;20150812;-0.010761
15001;20150813;-0.004126
15001;20150814;-0.002395
15001;20150817;-0.007056
15001;20150818;-0.012453
15001;20150819;-0.009322
15001;20150820;-0.028368
15001;20150821;-0.017920
15001;20150824;-0.013522
15001;20150825;0.005780
15001;20150826;0.019704
15001;20150827;0.009766
15001;20150828;-0.008077
15001;20150831;-0.000229
15001;20150901;-0.025500
15001;20150902;0.009488
15001;20150903;0.004904
15001;20150904;-0.018707
15001;20150908;0.033154
15001;20150909;-0.003518
15001;20150910;0.002323
15001;20150911;-0.003333
15001;20150914;0.000959
15001;20150915;0.002464
15001;20150916;0.001928
15001;20150917;0.019234
15001;20150918;-0.050331
15001;20150921;-0.008182
15001;20150922;-0.033500
15001;20150923;0.003456
15001;20150924;-0.007744
15001;20150925;0.007709
15001;20150928;-0.014543
15001;20150929;0.004543
15001;20150930;0.011873
15001;20151001;-0.011046
15001;20151002;0.018253
15001;20151005;0.017921
15001;20151006;0.009606
15001;20151007;0.006271
15001;20151008;0.009781
15001;20151009;0.009114
15001;20151012;0.003665
15001;20151013;-0.005266
15001;20151014;-0.006349
15001;20151015;0.008394
15001;20151016;0.002599
15001;20151019;0.002694
15001;20151020;-0.000805
15001;20151021;0.002866
15001;20151022;0.017278
15001;20151023;0.016945
15001;20151026;-0.001546
15001;20151027;-0.010895
15001;20151028;0.007077
15001;20151029;-0.005926
15001;20151030;0.007572
15001;20151102;0.013775
15001;20151103;-0.007086
15001;20151104;-0.017435
15001;20151105;0.006309
15001;20151106;-0.001176
15001;20151109;-0.012868
15001;20151110;-0.002067
15001;20151111;0.002792
15001;20151112;-0.008741
15001;20151113;-0.007636
15001;20151116;0.002451
15001;20151117;0.004027
15001;20151118;0.012030
15001;20151119;0.014665
15001;20151120;-0.005391
15001;20151123;-0.006252
15001;20151124;-0.006434
15001;20151125;0.016706
15001;20151127;0.010563
15001;20151130;0.003097
15001;20151201;-0.002316
15001;20151202;-0.013540
15001;20151203;-0.011922
15001;20151204;0.009724
15001;20151207;-0.000428
15001;20151208;-0.014160
15001;20151209;-0.003989
15001;20151210;0.000200
15001;20151211;-0.019019
15001;20151214;-0.011429
15001;20151215;0.017837
15001;20151216;0.014928
15001;20151217;-0.001994
15001;20151218;-0.010417
15001;20151221;-0.000405
15001;20151222;0.005672
15001;20151223;0.017676
15001;20151224;-0.001191
15001;20151228;0.000795
15001;20151229;0.013771
15001;20151230;-0.018283
15001;20151231;-0.007176
15001;20160104;-0.036183
15001;20160105;-0.005811
15001;20160106;-0.011325
15001;20160107;-0.017812
15001;20160108;-0.009499
15001;20160111;0.007847
15001;20160112;0.012111
15001;20160113;-0.020812
15001;20160114;0.006852
15001;20160115;-0.035111
15001;20160119;0.014376
15001;20160120;-0.018158
15001;20160121;0.011276
15001;20160122;0.017752
15001;20160125;-0.009554
15001;20160126;0.015885
15001;20160127;0.005444
15001;20160128;-0.014469
15001;20160129;0.003960
15001;20160201;0.000433
15001;20160202;-0.014267
15001;20160203;-0.002397
15001;20160204;0.006142
15001;20160205;-0.018047
15001;20160208;-0.028833
15001;20160209;0.003251
15001;20160210;0.011651
15001;20160211;-0.019166
15001;20160212;0.011993
15001;20160216;0.015193
15001;20160217;0.019501
15001;20160218;0.007117
15001;20160219;-0.009311
15001;20160222;0.010736
15001;20160223;-0.009704
15001;20160224;-0.019154
15001;20160225;0.012489
15001;20160226;0.002467
15001;20160229;-0.009396
15001;20160301;0.029359
15001;20160302;-0.007898
15001;20160303;0.019018
15001;20160304;0.007812
15001;20160307;-0.007321
15001;20160308;-0.005640
15001;20160309;0.003050
15001;20160310;-0.004780
